,0
0,-1.0654898593699447
0,-2.6005108371865573
0,-1.301750420495201
0,-1.984560750041636
0,-2.4148115782703368
0,-1.6859576272827543
0,-2.2897601443313977
0,-2.307160725650415
0,-2.2111801193386067
0,-1.995635971081641
0,-1.868637796920615
0,-2.5948756907559165
0,-2.529089734280883
0,-1.359521031178417
0,-2.274814243866527
0,-2.0957011822026863
0,-2.131891623816235
0,-1.1595488774439222
0,-2.139379185707844
0,-2.167832112143863
0,-2.237858195736734
0,-1.8903084864581894
0,-2.3129844213046007
0,-1.4417607641515857
0,-1.6189934199173706
0,-1.8714592659233198
0,-1.9287779168116148
0,-2.466677927108368
0,-1.9348586955505325
0,-2.1477395880314405
0,-1.8117492621299012
0,-2.8093339389322676
0,-2.3555122142619194
0,-2.4476226822386553
0,-2.009008289974674
0,-1.5212292726191576
0,-2.408060000881262
0,-1.4144684357564519
0,-1.7936744408291545
0,-2.1161030363742537
0,-2.1378423933202195
0,-1.9679957672845525
0,-2.200891547131371
0,-1.810398554214124
0,-2.0358640515318447
0,-2.835417309030242
0,-2.161771407740415
0,-2.2624278456847797
0,-2.0543229040634174
0,-1.1396798023532484
0,-1.6415677233913868
0,-2.115284235965149
0,-1.7243407476284505
0,-2.370185994145783
0,-1.602749783252898
0,-2.300140564171392
0,-1.7102729413077404
0,-1.9818947523675883
0,-2.0485878837842053
0,-2.2179496322425933
0,-2.3607171498526602
0,-1.9775247017614122
0,-2.926076796543636
0,-2.1070029972187703
0,-1.0955762189473774
0,-1.0821669852332583
0,-1.8929588482524962
0,-1.8182714456065163
0,-1.7409173718624567
0,-2.317926514703936
0,-1.9242826289183672
0,-2.2489215291113522
0,-1.235733858330652
0,-1.0674618647344831
0,-1.9567713970117138
0,-1.7134698116114917
0,-2.1508097796405443
0,-2.0749386070096363
0,-1.9558718474290495
0,-1.598712575280723
0,-1.9308966614033443
0,-1.7619860689315643
0,-2.942221623249568
0,-2.0589868109695835
0,-2.2217472618134018
0,-1.3767273338086268
0,-2.0292067108061476
0,-3.0212920647300665
0,-2.160645786936264
0,-2.160611315063881
0,-2.502407445021638
0,-1.8986429426558689
0,-2.1525138612974657
0,-2.545749171511687
0,-3.4537332706534496
0,-2.5266726746499724
0,-1.9615080618317795
0,-1.9481859778397699
0,-1.5996473093779036
0,-2.8717510519020637
0,-2.061663739450911
0,-2.4723724633651902
0,-2.3881319878964766
0,-2.0012293032920616
0,-2.6024363251102556
0,-2.253943846979876
0,-2.3237849056567796
0,-1.859354273871471
0,-2.2585035376056277
0,-2.5820114226442
0,-2.2049252767368364
0,-2.158294892693652
0,-2.5813051011031565
0,-2.0726734464833854
0,-2.727839299673984
0,-2.3465322008805236
0,-2.100032335651667
0,-1.8690513714746113
0,-2.1701182011140214
0,-2.398705347530539
0,-2.47718531303337
0,-1.2878208733929242
0,-2.0419147629510275
0,-2.241409537855823
0,-2.8450292019372996
0,-2.04989467616285
0,-2.0656655196114584
0,-2.792197924575424
0,-1.156884171845365
0,-1.8608874540653682
0,-2.1828423799180525
0,-2.0124929478453804
0,-1.3371844893585452
0,-2.2175473708829396
0,-2.2621305691205027
0,-2.438938862547522
0,-2.480466366797253
0,-2.2829345246526938
0,-2.943573549772461
0,-1.1060983321078295
0,-2.4402699698030395
0,-2.52151615943728
0,-1.9385296766845437
0,-1.9391572595587963
0,-2.291144247419634
0,-1.9612025557227513
0,-1.5508071111163302
0,-1.8865885785949046
0,-2.057320779312396
0,-2.298842119317458
0,-1.8373427861447171
0,-1.7700697603724882
0,-2.0052760071195714
0,-2.1241799477058767
0,-2.7284041239287005
0,-1.3641749770683118
0,-2.45580416290589
0,-1.9149028976660851
0,-2.7500598422753075
0,-2.2003238340734876
0,-1.3853082600883564
0,-2.226843810203334
0,-2.2713651152912573
0,-2.7606832086574093
0,-2.0584507199464497
0,-2.6309331440812183
0,-2.1780114615369204
0,-1.0876618070679898
0,-2.0019807597260293
0,-1.3447698932347474
0,-2.0662067288006063
0,-2.4777845202182602
0,-2.3558074650410714
0,-2.1811920834688032
0,-2.7837814169951285
0,-2.2244535040340945
0,-1.7998563280079183
0,-2.3254206039440626
0,-2.226964394165893
0,-2.831315386014531
0,-1.1077102781599324
0,-1.6356160404872444
0,-2.5489036822004145
0,-1.096278786118682
0,-2.547566529700961
0,-2.071710880863857
0,-1.7785131097230236
0,-2.3608967798398997
0,-1.991367007372978
0,-1.79114970939143
0,-1.6393268122725122
0,-2.474831937977749
0,-2.1426207217120887
0,-2.0457793772445507
0,-2.522833088121648
0,-1.1092241682395327
0,-2.282504895665433
0,-2.0616073874832543
0,-2.128337201434043
0,-1.4674484789697617
0,-1.8551586260400534
0,-2.1228852853570217
0,-2.041080069763987
0,-1.7343974650130387
0,-2.6409252098593132
0,-2.5062729311652303
0,-1.2055542411758005
0,-2.35782795177028
0,-2.140943990040579
0,-2.3613633165310293
0,-1.4633032971610545
